"filename", "language", "Python", "C++", "CMake", "Markdown", "JSON", "Docker", "YAML", "Properties", "Shell Script", "XML", "HTML", "Makefile", "comment", "blank", "total"
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/src/gtest_main.cc", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 8, 54
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/include_httplib.cc", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/include_windows_h.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/make-shared-library.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 8, 29
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/proxy/Dockerfile", "Docker", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 14
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/proxy/basic_squid.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 30, 15, 82
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/proxy/digest_squid.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 30, 15, 82
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/proxy/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/test.cc", "C++", 0, 11102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 545, 2337, 13984
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/test.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/test.rootCA.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/test.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 180
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/test_proxy.cc", "C++", 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48, 298
